rut;nombre;tipo_documento;numero_documento;fecha_deuda;fecha_vencimiento;monto
00.000.000-0;John Smith;Letra-Pagare;1230;17-01-2019;30-03-2019;130000
11.111.111-1;Pedro Smith;Letra-Pagare;1231;17-01-2019;24-04-2019;450000
22.222.222-2;Ariel Smith;Letra-Pagare;1232;17-01-2019;30-05-2019;340000
33.333.333-3;Manuela Smith;Letra-Pagare;1233;17-01-2019;01-06-2016;12000
44.444.444-4;Oscar Smith;Letra-Pagare;1234;17-01-2019;24-05-2019;134000
55.555.555-5;Leandro Smith;Letra-Pagare;1235;17-01-2019;30-04-2019;130000
66.666.666-6;Teresa Smith;Letra-Pagare;1236;17-01-2019;30-04-2019;450000
77.777.777-7;Gabriel Smith;Letra-Pagare;1237;17-01-2019;30-04-2019;130000
77.777.777-7;Gabriel Smith;Letra-Pagare;1238;17-01-2019;30-05-2019;130000
99.999.999-9;Carolina Smith;Letra-Pagare;1239;17-01-2019;30-04-2019;130000
